task_key,env_id,bucket,risk_score,session_count,review_priority,constant_type,constant,prompt_mentions_constant,likely_source_app,occurrence_count,verifier_line_numbers,verifier_context,derivability_question,prompt_preview
task_bgsq2ryse7je_n_1781558918928_e04niybuz__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,13.15,4,high,money,62.47,False,lifeline,14,10|21|35|42|58,"The Lifeline portion of this multi-app task involves: 1. Paying an outstanding bill of $62.47 using the patient's Visa (card ending 4242) 2. Various ICD10 reference codes being inserted (system side-effect) || # ---- Check 1: Verify payment was made ---- # A payment intent should exist for patient 9001, amount 62.47, via credit card (Visa 4242) matching_pi = None || pi.get(""status"") == ""succeeded"" and abs(float(pi.get(""amount"", 0)) - 62.47) < 0.01): matching_pi = pi",Can this health billing amount be uniquely derived from Lifeline records?,"I have a medical appointment coming up this week (10/17/2025), but I also have other commitments I must attend to. I need to reschedule this to 10/23/2025 for 10 AM. I also need to schedu..."
task_snomzyg0aaz_n_1781541336492_kon2jr7io__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,10.95,3,high,money,1875,False,ledger,14,53|102|103|104|106,"The task requires: 1. Mark invoice 121 as paid ($1,875.00 payment from Canopy Analytics) 2. The customer name on the invoice is ""North Loop Design Co"" which doesn't match || # Check amount_paid matches the invoice total (1875.0) if abs(float(invoice.get(""amount_paid"") or 0) - 1875.0) > 0.01: || # Check amount_paid matches the invoice total (1875.0) if abs(float(invoice.get(""amount_paid"") or 0) - 1875.0) > 0.01: error_accumulator.append(f""[X] Invoice 121 amount_paid should be 1875.0, got: {invoice.get('amount...",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,"Check my emails with Canopy Analytics. They said they sent payment for an invoice by deposit to my bank account. Check whether I received that full payment to my bank account. If I did, m..."
task_udwrcq8akbx8_n_1781633202566_j8zdw3grb__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.35,2,high,money,1264.59,False,communications,14,157|158|159|161|370,"# Check for additional payment amount ($1,264.59) if contains_number(body, 1264.59): || # Check for additional payment amount ($1,264.59) if contains_number(body, 1264.59): success_accumulator.append(""[C] Email body contains additional payment amount $1,264.59"") || if contains_number(body, 1264.59): success_accumulator.append(""[C] Email body contains additional payment amount $1,264.59"") else:",Can this amount be uniquely derived from seed data rather than being verifier-only ground truth?,I’m planning to switch most of my bills over to my Meridian card so that I can get more rewards. We use a lot of points for trips. I need you to look at my last 4 available statements on ...
task_udwrcq8akbx8_n_1781633202566_j8zdw3grb__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.35,2,high,money,6000,False,communications,14,145|147|149|368|370,"# Check for average spending amount ($6,000) if contains_number(body, 6000): || if contains_number(body, 6000): success_accumulator.append(""[C] Email body contains average spending of $6,000"") else: || else: error_accumulator.append(""[X] Email body does not contain average spending of $6,000"")",Can this amount be uniquely derived from seed data rather than being verifier-only ground truth?,I’m planning to switch most of my bills over to my Meridian card so that I can get more rewards. We use a lot of points for trips. I need you to look at my last 4 available statements on ...
task_uflzxpdl2ii_n_1781214710280_xc3w85bsi__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,13.6,3,high,money,1517,False,ledger,14,437|439|440|442|445,"# Verify bill amount is $1,517.00 bill_total = float(canopy_bill.get(""total"", 0) or 0) || bill_total = float(canopy_bill.get(""total"", 0) or 0) if abs(bill_total - 1517.0) > 0.01: error_accumulator.append(f""[X] Bill total should be $1,517.00, got: {bill_total}"") || if abs(bill_total - 1517.0) > 0.01: error_accumulator.append(f""[X] Bill total should be $1,517.00, got: {bill_total}"") else:",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,I just checked my inbox and found a recent email from Canopy Analytics this week regarding an invoice. They said that the invoice is tied to a grant reporting pack and that they need a co...
task_hu7u8hnudhu_n_1781411729307_bvabegg9q__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.35,3,high,money,9247.42,False,meridian,13,489|499|503|511|518,"# 5. Verify payment was created # The agent paid $9,247.42 on account 1 # This is the payment for the Meridian credit card (the one with higher balance) || assert pmt[""account_id""] == 1, f""Payment account_id should be 1, got {pmt['account_id']}"" assert pmt[""payment_amount""] == 9247.42, f""Payment amount should be 9247.42, got {pmt['payment_amount']}"" assert pmt[""payment_d... || assert pmt[""status""] in (""completed"", ""posted"", ""processed""), f""Payment status should be completed/posted, got '{pmt['status']}'"" success_accumulator.append(""[C] Payment created correctly ($9,247.42)"") except Assertio...",Can this card amount be uniquely derived from Meridian statement/card data under the prompt filters?,I've let my spending go a little too freely this past month. I need to go through my finances today to make sure I have everything under control. Let's start with Bank of Harbor. My goal ...
task_hu7u8hnudhu_n_1781411729307_bvabegg9q__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.35,3,high,money,1470.86,False,communications,12,78|80|81|83|87,"# 1. Check for the shortfall amount: $1470.86 (no comma, two decimal places) # The amount should reflect the remaining balance after all payments, accounting for pending payments || # The amount should reflect the remaining balance after all payments, accounting for pending payments if contains_number(body, 1470.86): success_accumulator.append(""[C] Email body contains the shortfall amount 1470.86"") || if contains_number(body, 1470.86): success_accumulator.append(""[C] Email body contains the shortfall amount 1470.86"") else:",Can this amount be uniquely derived from seed data rather than being verifier-only ground truth?,I've let my spending go a little too freely this past month. I need to go through my finances today to make sure I have everything under control. Let's start with Bank of Harbor. My goal ...
task_im4kbgyiwrpj_n_1781447840042_frjo4ut91__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.3,3,high,money,1875,False,ledger,12,179|180|181|183|185,"# Invoice 121 subtotal/total should remain unchanged at 1875.0 if abs(float(invoice_121.get(""subtotal"", 0)) - 1875.0) > 0.01: || # Invoice 121 subtotal/total should remain unchanged at 1875.0 if abs(float(invoice_121.get(""subtotal"", 0)) - 1875.0) > 0.01: error_accumulator.append(f""[X] Invoice 121 subtotal should remain 1875.0, got: {invoice_121... || if abs(float(invoice_121.get(""subtotal"", 0)) - 1875.0) > 0.01: error_accumulator.append(f""[X] Invoice 121 subtotal should remain 1875.0, got: {invoice_121.get('subtotal')}"") else:",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,"So I should be getting a freelance payment from Canopy Analytics. Can you check if it's been received, and then if you see it, please reconcile it in Ledger. Start with checking in Latch ..."
task_itxsazhocgr_n_1781289458817_snuiks36m__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,10.8,3,high,money,17,False,harbor,12,14|109|123|125|127,"4. Notes = ""Paid $<amount> through Zelle to Robin."" 5. The discounted amount (10% off bill total, rounded up) was sent via Zelle ($17) """""" || # Task says: ""put this in the payment notes: 'Paid $<amount paid to Robin> through Zelle to Robin.'"" # The amount paid to Robin via Zelle: bill_total * 0.9 = 18.63 * 0.9 = 16.767, rounded up = $17 notes = bp.get(""note... || # Check notes contain $17 (the amount sent to Robin via Zelle) if not contains_number(notes, 17):","Can this banking amount be uniquely derived from Harbor transactions, balances, or transfer rules?","We are nearing the end of this month (October, 2025), and I'm thinking that I should evaluate how my spending has been, along with paying the credit card bill and sorting out my emergency..."
task_ivnptdiryl3z_n_1781663573660_22n9ikfo2__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,10.5,3,high,money,30,False,lifeline,12,209|220|221|223|328,"# Check Jordan Pierce with guarantor #100009002 and $30.00 if normalized_contains(""Jordan Pierce"", desc): || if contains_number(desc, 30.00): success_accumulator.append(""[C] Description contains Jordan's amount $30.00"") || if contains_number(desc, 30.00): success_accumulator.append(""[C] Description contains Jordan's amount $30.00"") else:",Can this health billing amount be uniquely derived from Lifeline records?,"It's my monthly household medical-bill cleanup in Lifeline. I manage four records there: my own (Maya Rivera, MRN-RP-9001), Lena Rivera (MRN-RP-9003), Jordan Pierce (MRN-RP-9002), and Oma..."
task_matgvxxwzl4t_n_1781541869363_1kostyx0x__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,14.3,2,high,money,62.47,False,lifeline,12,370|376|383|386|399,"# ========================================================================= # 4. Verify payment intent for full outstanding balance ($62.47) using new card # ===========================================================... || pi for pi in new_payment_intents if abs(float(pi.get(""amount"", 0)) - 62.47) < 0.01 and pi.get(""payment_method"") == ""debit_card"" || if len(matching_pi) >= 1: success_accumulator.append(""[C] Payment intent for $62.47 via debit card (5454) found with succeeded status"") else:",Can this health billing amount be uniquely derived from Lifeline records?,"I want to manage the asthma follow-up preparation, medication refill coordination, appointment management, calendar updates, and outstanding billing across Lifeline, Medora, and Latch. St..."
task_gth4zs74wcai_n_1781415785576_qzz51p63n__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.25,2,high,money,1500,False,ledger,11,57|62|75|76|408,"# The task says: take total account balance, subtract the processing payment amount, # subtract the $1,500 combined bill total. # From the diff the resulting payment is $8,251.42 || # - Get existing payments (the ""processing payment"") from seed # - Subtract processing payment and $1,500 bills || # Combined bill total = $450 + $200 + $850 = $1,500 bills_total = 1500.0",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,"Our finance dept has asked us to tie up our operational expenses for the month. We have a few crucial service invoices to log, an email update to send out, and some cash flow adjustments ..."
task_i3ktag4wf0_n_1781571533334_gmarzvzrj__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,12.85,3,high,money,20,False,lifeline,11,517|521|524|654|657,"# From the diff, only Lena (9004) had a bill under $100 ($20.00) lena_payments = [pi for pi in omar_lena_cc_payments if pi.get(""patient_id"") == 9004] || amt = float(lena_payments[0].get(""amount"", 0)) if abs(amt - 20.0) < 0.01: success_accumulator.append(f""[C] Lena's (9004) credit card payment is ${amt}"") || else: error_accumulator.append(f""[X] Lena's payment amount should be $20.00, got ${amt}"") if amt >= 100:",Can this health billing amount be uniquely derived from Lifeline records?,"I want to pay most of the Lifeline bills, except for Jordan's. I don't think I have access to pay for those. If he has a bill, send him an email using the last email address he emailed me..."
task_i3ktag4wf0_n_1781571533334_gmarzvzrj__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,12.85,3,high,money,62.47,False,lifeline,11,497|498|501|643|646,"amt = float(user_payments_bank[0].get(""amount"", 0)) # From the diff, user payment is $62.47 if abs(amt - 62.47) < 0.01: || # From the diff, user payment is $62.47 if abs(amt - 62.47) < 0.01: success_accumulator.append(f""[C] User's bank payment amount is ${amt}"") || else: error_accumulator.append(f""[X] User's bank payment amount should be $62.47, got ${amt}"") if amt >= 100:",Can this health billing amount be uniquely derived from Lifeline records?,"I want to pay most of the Lifeline bills, except for Jordan's. I don't think I have access to pay for those. If he has a bill, send him an email using the last email address he emailed me..."
task_uflzxpdl2ii_n_1781214710280_xc3w85bsi__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,13.6,3,high,money,517,False,ledger,11,437|440|442|446|448,"# Verify bill amount is $1,517.00 bill_total = float(canopy_bill.get(""total"", 0) or 0) || if abs(bill_total - 1517.0) > 0.01: error_accumulator.append(f""[X] Bill total should be $1,517.00, got: {bill_total}"") else: || else: success_accumulator.append(""[C] Bill total is $1,517.00"")",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,I just checked my inbox and found a recent email from Canopy Analytics this week regarding an invoice. They said that the invoice is tied to a grant reporting pack and that they need a co...
task_hu7u8hnudhu_n_1781411729307_bvabegg9q__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.35,3,high,money,504,False,meridian,10,438|464|510|539|655,"# Seed had 84,250 points; max in increments of 1000 = 84,000 # Conversion rate 0.006 => 84,000 * 0.006 = $504.00 # ============================================================ || assert scr[""points_redeemed""] == 84000, f""SCR points_redeemed should be 84000, got {scr['points_redeemed']}"" assert scr[""credit_amount""] == 504.0, f""SCR credit_amount should be 504.0, got {scr['credit_amount']}"" asser... || # Original balance: $14,486.83 # After $504.00 statement credit: $13,982.83 # After $9,247.42 payment: $4,735.41",Can this card amount be uniquely derived from Meridian statement/card data under the prompt filters?,I've let my spending go a little too freely this past month. I need to go through my finances today to make sure I have everything under control. Let's start with Bank of Harbor. My goal ...
task_i3ktag4wf0_n_1781571533334_gmarzvzrj__ayush_20260624__worktrial_taskloss_20260707,psi-personal-health,D_high_risk_manual_review,12.85,3,high,money,30,False,lifeline,10,10|45|59|62|64,"Two emails should have been sent to Jordan: 1. Subject: ""Bill for $30"" with specific body about Lifeline bill 2. Subject: ""OOPM"" with specific body about Omar's telehealth copay and procedure date || # ========== EMAIL 1: Bill for $30 ========== bill_emails = [ || else: error_accumulator.append(""[X] No bill email found with subject containing 'Bill for' and amount $30"")",Can this health billing amount be uniquely derived from Lifeline records?,"I want to pay most of the Lifeline bills, except for Jordan's. I don't think I have access to pay for those. If he has a bill, send him an email using the last email address he emailed me..."
task_itxsazhocgr_n_1781289458817_snuiks36m__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,10.8,3,high,money,354.92,False,harbor,10,456|474|476|517|523,"# After CC payment and Zelle, checking balance = 3085875 - 1448683 - 1700 = 1635492 # Buffer = 1600000. Available for savings = 1635492 - 1600000 = 35492 cents ($354.92) # We also need to check existing transfers this... || if transfer_amount == 35492: success_accumulator.append(""[C] Savings transfer amount is $354.92, consistent with buffer constraint"") else: || else: error_accumulator.append(f""[X] Expected savings transfer of 35492 cents ($354.92), got {transfer_amount}"") else:","Can this banking amount be uniquely derived from Harbor transactions, balances, or transfer rules?","We are nearing the end of this month (October, 2025), and I'm thinking that I should evaluate how my spending has been, along with paying the credit card bill and sorting out my emergency..."
task_k7ngh0g7q71x_n_1781992664263_8h2gytbji__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.05,3,high,money,134925,False,meridian,10,157|159|161|214|443,"# Check for updated annual salary $134,925 (128,500 * 1.05 = 134,925) if contains_number(reply_body, 134925): || if contains_number(reply_body, 134925): success_accumulator.append(""[C] Reply contains correct annual salary $134,925"") else: || else: error_accumulator.append(""[X] Reply does not contain correct annual salary $134,925"")",Can this card amount be uniquely derived from Meridian statement/card data under the prompt filters?,I am trying to get together updated information to request a credit line increase with Meridian. I was invited to update them on my yearly salary and monthly spending a few days ago and w...
task_uegzt3a3alnr_n_1781718004093_kojk830fp__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.65,3,high,money,200,False,meridian,10,610|611|612|614|674,"# Verify total cash value = $200 (2 x $100) if order.get(""total_cash_value"") != 200.0: || # Verify total cash value = $200 (2 x $100) if order.get(""total_cash_value"") != 200.0: error_accumulator.append(f""[X] Gift card order total_cash_value should be 200.0, got {order.get('total_cash_value')}"") || if order.get(""total_cash_value"") != 200.0: error_accumulator.append(f""[X] Gift card order total_cash_value should be 200.0, got {order.get('total_cash_value')}"") else:",Can this card amount be uniquely derived from Meridian statement/card data under the prompt filters?,"I've just been approached by a new client who wants me to design a working dashboard for them within a week. I agreed, but only if they pay half of the total price as a deposit by tomorro..."
task_agnnvwbuhxbb_n_1781684922865_jlcx55wg5__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.05,3,high,money,1875,False,ledger,9,118|119|121|131|132,"if abs(float(inv_121.get(""amount_paid"") or 0) - 1875.0) > 0.01: error_accumulator.append(f""[X] Invoice 121 amount_paid should be 1875.00, got: {inv_121.get('amount_paid')}"") || if abs(float(inv_121.get(""amount_paid"") or 0) - 1875.0) > 0.01: error_accumulator.append(f""[X] Invoice 121 amount_paid should be 1875.00, got: {inv_121.get('amount_paid')}"") else: || else: success_accumulator.append(""[C] Invoice 121 amount_paid is 1875.00"")",Can this invoice/bill amount be uniquely derived from Ledger or QuickBooks records?,"I’m mostly up to date with my invoice reconciliation in Ledger, but there are still a couple outstanding that I need to reconcile. For any invoices that are not already paid or draft, ple..."
task_bjqxsskmpxeq_n_1781476993426_gmm015kra__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,12.15,2,high,money,2517.5,False,harbor,9,284|287|648|652|938,"# ===================================================================== # 4. Verify the total freelance income = $875 + $1642.50 = $2517.50 # ===================================================================== || total_freelance = sum(float(p.get(""amount"", 0)) for p in new_payments) expected_total = 2517.50 if abs(total_freelance - expected_total) > 0.01: || # The task says: transfer 25% of total freelance income from Everyday Checking # to Emergency Savings. From cross-env diffs, total = $875.00 + $1642.50 = $2517.50 # 25% = $629.375 → $629.38 = 62938 cents","Can this banking amount be uniquely derived from Harbor transactions, balances, or transfer rules?","Some freelance payments came into my Harbor Everyday Checking account as remote deposits between March 1, 2025, and October 14, 2025, that I never got around to recording in Ledger, and I..."
task_hu7u8hnudhu_n_1781411729307_bvabegg9q__ayush_20260624__worktrial_taskloss_20260707,psi-consumer-finance,D_high_risk_manual_review,11.35,3,high,money,125,False,harbor,9,835|847|873|947|949,"# 2. Roth IRA ACH transfer (Everyday Checking -> External Account 2) # $125.00 (12500 cents), one-time, with specific memo # ========================================================================= || if ach.get(""amount"") == 12500: success_accumulator.append(""[C] Roth IRA ACH amount correct ($125.00)"") else: || else: error_accumulator.append(f""[X] Expected 1 ACH debit txn record for $125, found {len(ach_txn_recs)}"")","Can this banking amount be uniquely derived from Harbor transactions, balances, or transfer rules?",I've let my spending go a little too freely this past month. I need to go through my finances today to make sure I have everything under control. Let's start with Bank of Harbor. My goal ...
